geography,total,total_native,total_foreign_born,total_foreign_born_naturalized_u.s._citizen,total_foreign_born_not_a_u.s._citizen,total_car_truck_or_van_-_drove_alone,total_car_truck_or_van_-_drove_alone_native,total_car_truck_or_van_-_drove_alone_foreign_born,total_car_truck_or_van_-_drove_alone_foreign_born_naturalized_u.s._citizen,total_car_truck_or_van_-_drove_alone_foreign_born_not_a_u.s._citizen,total_car_truck_or_van_-_carpooled,total_car_truck_or_van_-_carpooled_native,total_car_truck_or_van_-_carpooled_foreign_born,total_car_truck_or_van_-_carpooled_foreign_born_naturalized_u.s._citizen,total_car_truck_or_van_-_carpooled_foreign_born_not_a_u.s._citizen,total_public_transportation_(excluding_taxicab),total_public_transportation_(excluding_taxicab)_native,total_public_transportation_(excluding_taxicab)_foreign_born,total_public_transportation_(excluding_taxicab)_foreign_born_naturalized_u.s._citizen,total_public_transportation_(excluding_taxicab)_foreign_born_not_a_u.s._citizen,total_walked,total_walked_native,total_walked_foreign_born,total_walked_foreign_born_naturalized_u.s._citizen,total_walked_foreign_born_not_a_u.s._citizen,total_taxicab_motorcycle_bicycle_or_other_means,total_taxicab_motorcycle_bicycle_or_other_means_native,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born_naturalized_u.s._citizen,total_taxicab_motorcycle_bicycle_or_other_means_foreign_born_not_a_u.s._citizen,total_worked_at_home,total_worked_at_home_native,total_worked_at_home_foreign_born,total_worked_at_home_foreign_born_naturalized_u.s._citizen,total_worked_at_home_foreign_born_not_a_u.s._citizen,name,state,county
0500000US06107,160143,109365,50778,17036,33742,126465,89990,36475,13786,22689,21075,11143,9932,1934,7998,1038,816,222,83,139,2861,1621,1240,339,901,3544,2092,1452,134,1318,5160,3703,1457,760,697,"Tulare County, California",06,107
0500000US06113,108094,76797,31297,16412,14885,75721,55351,20370,11855,8515,12872,6924,5948,2490,3458,2915,1958,957,388,569,3233,2411,822,394,428,8695,6527,2168,674,1494,4658,3626,1032,611,421,"Yolo County, California",06,113
0500000US06023,57731,53912,3819,1522,2297,41721,39038,2683,1136,1547,5305,4899,406,142,264,1011,961,50,0,50,3862,3550,312,77,235,1587,1522,65,16,49,4245,3942,303,151,152,"Humboldt County, California",06,023
0500000US06057,38193,34329,3864,1366,2498,27474,25080,2394,981,1413,4108,3471,637,97,540,335,229,106,50,56,1103,797,306,75,231,911,869,42,0,42,4262,3883,379,163,216,"Nevada County, California",06,057
0500000US06003,657,618,39,33,6,415,381,34,33,1,151,150,1,0,1,0,0,0,0,0,40,40,0,0,0,0,0,0,0,0,51,47,4,0,4,"Alpine County, California",06,003
0500000US06039,47098,33173,13925,5019,8906,36211,26650,9561,3849,5712,7104,3783,3321,936,2385,158,61,97,31,66,905,628,277,80,197,902,443,459,73,386,1818,1608,210,50,160,"Madera County, California",06,039
0500000US06045,36111,29863,6248,2372,3876,27088,22710,4378,1768,2610,3615,2631,984,277,707,107,87,20,0,20,1801,1292,509,231,278,616,529,87,11,76,2884,2614,270,85,185,"Mendocino County, California",06,045
0500000US06087,119400,88545,30855,11164,19691,81394,60706,20688,7970,12718,10582,6593,3989,1322,2667,2997,2304,693,222,471,5891,4735,1156,364,792,8759,5770,2989,530,2459,9777,8437,1340,756,584,"Santa Cruz County, California",06,087
0500000US06105,4787,4362,425,106,319,3271,3142,129,68,61,462,455,7,0,7,15,7,8,8,0,192,179,13,0,13,150,150,0,0,0,697,429,268,30,238,"Trinity County, California",06,105
0500000US06037,4818190,2810832,2007358,1025770,981588,3554001,2152462,1401539,790228,611311,471253,228441,242812,109121,133691,304452,135550,168902,43835,125067,127820,71789,56031,17767,38264,111174,64975,46199,13207,32992,249490,157615,91875,51612,40263,"Los Angeles County, California",06,037
