,Geography,Estimate!!Total,Estimate!!Total!!U.S. citizen born in the United States,Estimate!!Total!!U.S. citizen born in Puerto Rico or U.S. Island Areas,Estimate!!Total!!U.S. citizen born abroad of American parent(s),Estimate!!Total!!U.S. citizen by naturalization,Estimate!!Total!!Not a U.S. citizen,NAME,state,county,tract
7421,1400000US06095250601,5362,4230,50,84,479,519,"Census Tract 2506.01, Solano County, California",06,095,250601
7422,1400000US06095250604,3686,2647,39,105,725,170,"Census Tract 2506.04, Solano County, California",06,095,250604
7423,1400000US06095250605,4210,2864,0,57,966,323,"Census Tract 2506.05, Solano County, California",06,095,250605
7424,1400000US06095250701,3404,2433,7,43,368,553,"Census Tract 2507.01, Solano County, California",06,095,250701
7425,1400000US06095250801,3872,3217,32,122,328,173,"Census Tract 2508.01, Solano County, California",06,095,250801
7426,1400000US06095250900,2636,2185,0,11,237,203,"Census Tract 2509, Solano County, California",06,095,250900
7427,1400000US06095251000,2783,2164,0,33,323,263,"Census Tract 2510, Solano County, California",06,095,251000
7428,1400000US06095251100,3067,2337,0,18,374,338,"Census Tract 2511, Solano County, California",06,095,251100
7429,1400000US06095251200,3496,2133,34,13,513,803,"Census Tract 2512, Solano County, California",06,095,251200
7430,1400000US06095251300,2626,2117,24,45,314,126,"Census Tract 2513, Solano County, California",06,095,251300
7431,1400000US06095251400,5669,4536,0,137,411,585,"Census Tract 2514, Solano County, California",06,095,251400
7432,1400000US06095251500,4378,3332,0,0,262,784,"Census Tract 2515, Solano County, California",06,095,251500
7433,1400000US06095251600,2508,2128,0,12,73,295,"Census Tract 2516, Solano County, California",06,095,251600
7434,1400000US06095251701,3509,2907,7,71,208,316,"Census Tract 2517.01, Solano County, California",06,095,251701
7435,1400000US06095251702,2602,1738,33,40,529,262,"Census Tract 2517.02, Solano County, California",06,095,251702
7436,1400000US06095251802,2600,1531,0,13,722,334,"Census Tract 2518.02, Solano County, California",06,095,251802
7437,1400000US06095251803,5143,3121,10,27,1089,896,"Census Tract 2518.03, Solano County, California",06,095,251803
7438,1400000US06095251804,3777,2025,42,75,1143,492,"Census Tract 2518.04, Solano County, California",06,095,251804
7439,1400000US06095251901,4880,3626,0,60,707,487,"Census Tract 2519.01, Solano County, California",06,095,251901
7440,1400000US06095251902,6226,4255,50,61,1190,670,"Census Tract 2519.02, Solano County, California",06,095,251902
7441,1400000US06095251903,5643,3901,53,64,1041,584,"Census Tract 2519.03, Solano County, California",06,095,251903
7442,1400000US06095252000,4419,4098,0,29,255,37,"Census Tract 2520, Solano County, California",06,095,252000
7443,1400000US06095252102,3939,3418,10,74,183,254,"Census Tract 2521.02, Solano County, California",06,095,252102
7444,1400000US06095252103,5341,3815,15,52,1066,393,"Census Tract 2521.03, Solano County, California",06,095,252103
7445,1400000US06095252104,5583,4536,0,110,816,121,"Census Tract 2521.04, Solano County, California",06,095,252104
7446,1400000US06095252105,3342,2840,19,23,309,151,"Census Tract 2521.05, Solano County, California",06,095,252105
7447,1400000US06095252106,4377,3646,43,15,510,163,"Census Tract 2521.06, Solano County, California",06,095,252106
7448,1400000US06095252107,3671,3259,0,50,201,161,"Census Tract 2521.07, Solano County, California",06,095,252107
7449,1400000US06095252108,3197,2698,8,66,307,118,"Census Tract 2521.08, Solano County, California",06,095,252108
7450,1400000US06095252201,9194,7447,257,196,1135,159,"Census Tract 2522.01, Solano County, California",06,095,252201
7451,1400000US06095252202,10494,7258,11,244,2503,478,"Census Tract 2522.02, Solano County, California",06,095,252202
7452,1400000US06095252305,4919,3874,20,157,751,117,"Census Tract 2523.05, Solano County, California",06,095,252305
7453,1400000US06095252306,3357,2721,0,143,412,81,"Census Tract 2523.06, Solano County, California",06,095,252306
7454,1400000US06095252310,3030,2385,0,90,502,53,"Census Tract 2523.10, Solano County, California",06,095,252310
7455,1400000US06095252311,4316,3465,0,121,639,91,"Census Tract 2523.11, Solano County, California",06,095,252311
7456,1400000US06095252312,3571,2750,72,80,475,194,"Census Tract 2523.12, Solano County, California",06,095,252312
7457,1400000US06095252313,5683,4345,0,133,857,348,"Census Tract 2523.13, Solano County, California",06,095,252313
